id:ID,mention,frequency:int,node_type:LABEL,sections
0,Russia,1,GENE_PRODUCT,ABSTRACT
1,Russia,1,GENE_PRODUCT,INTRODUCTION
3,Russian,1,GENE_PRODUCT,INTRODUCTION
4,Laika,1,GENE_PRODUCT,INTRODUCTION
6,Bion,1,GENE_PRODUCT,INTRODUCTION
10,Bion,1,GENE_PRODUCT,INTRODUCTION
13,NeuroLab,1,GENE_PRODUCT,INTRODUCTION
15,MDS,1,GENE_PRODUCT,INTRODUCTION
16,MDS,1,GENE_PRODUCT,INTRODUCTION
18,IACUC,1,GENE_PRODUCT,Ethical statement
20,C57,1,GENE_PRODUCT,Animals
21,C57,1,GENE_PRODUCT,Animals
24,RFID,1,GENE_PRODUCT,Animals
25,Felixcan,1,GENE_PRODUCT,Animals
26,Spain,1,GENE_PRODUCT,Animals
27,Baikonur,1,GENE_PRODUCT,Experimental groups
28,Orenburg,1,GENE_PRODUCT,Experimental groups
35,BOS,1,GENE_PRODUCT,Experimental groups
40,SFV,1,GENE_PRODUCT,Experimental groups
42,BOS,1,GENE_PRODUCT,Housing
44,Bion,1,GENE_PRODUCT,Habitats
45,IBMP,1,GENE_PRODUCT,Habitats
46,IBMP,1,GENE_PRODUCT,Habitats
47,BOS,1,GENE_PRODUCT,Habitats
48,Russian,1,GENE_PRODUCT,Habitats
49,Bulbs,1,GENE_PRODUCT,Habitats
51,Russia,1,GENE_PRODUCT,Diet
53,SFV,1,GENE_PRODUCT,Diet
54,IBMP,1,GENE_PRODUCT,Diet
55,SFV,1,GENE_PRODUCT,Diet
58,Russia,1,GENE_PRODUCT,Telemetry probes implantation
59,Centre,1,GENE_PRODUCT,Telemetry probes implantation
60,CNES,1,GENE_PRODUCT,Telemetry probes implantation
62,xylazine,1,GENE_PRODUCT,Telemetry probes implantation
63,SFV,1,GENE_PRODUCT,Telemetry probes implantation
65,Baikonur,1,GENE_PRODUCT,Telemetry probes implantation
67,Moscow,1,GENE_PRODUCT,Telemetry probes implantation
68,Time,1,GENE_PRODUCT,Telemetry probes implantation
69,First,1,GENE_PRODUCT,Pre-flight training of mice designated for in vivo studies
73,UgoBasil,1,GENE_PRODUCT,Pre-flight training of mice designated for in vivo studies
75,Germany,1,GENE_PRODUCT,Pre-flight training of mice designated for in vivo studies
77,TSE,1,GENE_PRODUCT,Pre-flight training of mice designated for in vivo studies
80,ANOVA,1,GENE_PRODUCT,Statistical analysis
82,ANOVA,1,GENE_PRODUCT,Statistical analysis
83,Fisher,1,GENE_PRODUCT,Statistical analysis
84,Student,1,GENE_PRODUCT,Statistical analysis
85,GraphPad,1,GENE_PRODUCT,Statistical analysis
86,USA,1,GENE_PRODUCT,Statistical analysis
90,SFV,1,GENE_PRODUCT,Group housing
93,GCV,1,GENE_PRODUCT,Group housing
96,Shelter,1,GENE_PRODUCT,Group housing
97,SFV,1,GENE_PRODUCT,Food and water consumption
99,Student,1,GENE_PRODUCT,Food and water consumption
101,RotaRod,1,GENE_PRODUCT,Telemetry probes impact on the mice welfare
102,Willis,1,GENE_PRODUCT,Telemetry probes impact on the mice welfare
103,C57,1,GENE_PRODUCT,Telemetry probes impact on the mice welfare
106,SFV,1,GENE_PRODUCT,Pre-flight training of mice designated for in vivo studies
112,Baikonur,1,GENE_PRODUCT,Transportation
126,Fisher,1,GENE_PRODUCT,Mice condition after the flight and control experiments
128,Fisher,1,GENE_PRODUCT,Mice condition after the flight and control experiments
129,MDS,1,GENE_PRODUCT,Mice condition after the flight and control experiments
130,ISS,1,GENE_PRODUCT,Mice condition after the flight and control experiments
132,Bion,1,GENE_PRODUCT,Mice behavior during the flight
135,Bion,1,GENE_PRODUCT,Mice behavior during the flight
136,MDS,1,GENE_PRODUCT,Mice behavior during the flight
143,Seasonal,1,GENE_PRODUCT,Body weight data
144,SFV,1,GENE_PRODUCT,Behavior in the open-field test
149,SFV,1,GENE_PRODUCT,Behavior in the open-field test
154,SFV,1,GENE_PRODUCT,Behavior in the open-field test
158,SFV,1,GENE_PRODUCT,Behavior in the open-field test
164,SFV,1,GENE_PRODUCT,Post-flight adjustment of experimental groups
166,C57,1,GENE_PRODUCT,Post-flight adjustment of experimental groups
169,SFV,1,GENE_PRODUCT,Implementation of the scientific program
171,Russia,1,GENE_PRODUCT,Implementation of the scientific program
172,USA,1,GENE_PRODUCT,Implementation of the scientific program
173,France,1,GENE_PRODUCT,Implementation of the scientific program
174,Germany,1,GENE_PRODUCT,Implementation of the scientific program
175,Italy,1,GENE_PRODUCT,Implementation of the scientific program
176,Ukraine,1,GENE_PRODUCT,Implementation of the scientific program
178,SFV,1,GENE_PRODUCT,CONCLUSION
PUB_PMC4136787,PMC4136787,1,PUBLICATION,
