:START_ID,:END_ID,type:TYPE,method,trigger,evidence_span,section_heading,sentence_id:int
24,25,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Mice were individually identified using RFID chips (El1000, Felixcan, Spain) and earmarks.",Animals,66
24,26,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Mice were individually identified using RFID chips (El1000, Felixcan, Spain) and earmarks.",Animals,66
25,26,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Mice were individually identified using RFID chips (El1000, Felixcan, Spain) and earmarks.",Animals,66
27,28,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"The Bion-M 1 biosatellite, launched on April 19, 2013 from cosmodrome Baikonur, and the descent module landed on May 19, 2013 in the vicinity of Orenburg, successfully fulfilling the plan for an unmanned, 30-day-long orbital spaceflight.",Experimental groups,68
45,46,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"It was developed by Biofizpribor, according to the IBMP requirements and was tested by IBMP in 2011.Each block consisted of five individual habitats (BOS, Block Obespecheniya Soderzhaniya, Russian for -literally -Unit for the Provision of H",Habitats,86
45,47,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"It was developed by Biofizpribor, according to the IBMP requirements and was tested by IBMP in 2011.Each block consisted of five individual habitats (BOS, Block Obespecheniya Soderzhaniya, Russian for -literally -Unit for the Provision of H",Habitats,86
45,48,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"It was developed by Biofizpribor, according to the IBMP requirements and was tested by IBMP in 2011.Each block consisted of five individual habitats (BOS, Block Obespecheniya Soderzhaniya, Russian for -literally -Unit for the Provision of H",Habitats,86
46,47,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"It was developed by Biofizpribor, according to the IBMP requirements and was tested by IBMP in 2011.Each block consisted of five individual habitats (BOS, Block Obespecheniya Soderzhaniya, Russian for -literally -Unit for the Provision of H",Habitats,86
46,48,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"It was developed by Biofizpribor, according to the IBMP requirements and was tested by IBMP in 2011.Each block consisted of five individual habitats (BOS, Block Obespecheniya Soderzhaniya, Russian for -literally -Unit for the Provision of H",Habitats,86
47,48,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"It was developed by Biofizpribor, according to the IBMP requirements and was tested by IBMP in 2011.Each block consisted of five individual habitats (BOS, Block Obespecheniya Soderzhaniya, Russian for -literally -Unit for the Provision of H",Habitats,86
58,59,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Arterial pressure was monitored in sub-groups of mice designated for recovery, using implantable probes and telemetry hardware (Data Science International, USA).The hardware was adapted and integrated to the Bion-M biosatellite by engineers",Telemetry probes implantation,109
